name;@lat;@lon
Costa de Santa Isabel;42.8846563;-8.5488686
Costa de Santa Isabel;42.8848745;-8.5497701
Rúa das Casas Novas;42.8883885;-8.5537837
Rúa do Pombal;42.8790858;-8.5487409
Rúa de San Lourenzo;42.8790018;-8.5540778
Rúa da Carballeira de San Lourenzo;42.8785649;-8.5555809
Avenida das Burgas;42.8784541;-8.5554289
Rúa de Xoaquín Díaz de Rábago;42.8769947;-8.5576517
Costa do Cano;42.8791894;-8.5577099
Avenida da Mestra Victoria Míguez;42.8693706;-8.5758171
Avenida da Mestra Victoria Míguez;42.8704424;-8.5681326
Avenida da Mestra Victoria Míguez;42.8708229;-8.5669598
Avenida das Burgas;42.8781831;-8.5535568
Avenida da Coruña;42.8766391;-8.5509654
Rúa do Doutor Teixeiro;42.8753133;-8.5450525
Rúa da República Arxentina;42.8724782;-8.5489166
Rúa do Hórreo;42.8741449;-8.5446595
Rúa do Hórreo;42.8761016;-8.5439880
Rúa da Cruz de San Pedro;42.8814874;-8.5349725
Rúa dos Concheiros;42.8818277;-8.5350938
Costa do Cristo;42.8808347;-8.5465088
Rúa das Hortas;42.8805189;-8.5478493
Avenida de Lugo;42.8734281;-8.5382862
Avenida de Lugo;42.8735391;-8.5379297
Avenida de Lugo;42.8737546;-8.5373500
Avenida de Gonzalo Torrente Ballester;42.8789527;-8.5283933
Avenida de Lugo;42.8776737;-8.5338353
Avenida de Gonzalo Torrente Ballester;42.8783895;-8.5320178
Avenida de Gonzalo Torrente Ballester;42.8839739;-8.5110908
Rúa de Curros Enríquez;42.8754514;-8.5407773
Rúa dos Pitelos;42.8762698;-8.5427397
Campo da Estrela;42.8771946;-8.5461866
Tunel de Valladares;42.1845200;-8.7220765
Circunvalación de Vigo;42.1837104;-8.7188836
Rúa Eduardo Cabello;42.2270653;-8.7532175
Circunvalación de Vigo;42.1928313;-8.6715203
Rúa Riomao;42.2271655;-8.6602401
Rúa Eduardo Cabello;42.2273636;-8.7562265
Rúa Eduardo Cabello;42.2272683;-8.7559031
Tunel de Valladares;42.1844687;-8.7223783
Rúa Parachán;42.2302274;-8.6686857
Circunvalación de Vigo;42.1840350;-8.6922733
Circunvalación de Vigo;42.1835412;-8.6864865
Avenida da Ponte;42.2105981;-8.6711608
Rúa de Cuba;42.1190765;-8.8541912
Avenida de Sabarís;42.1110630;-8.8346704
Rúa Tomás Mirambell;42.1209791;-8.8540886
Rúa Tomás Mirambell;42.1202926;-8.8541427
Estrada de Baiona a Loureza;42.1203121;-8.8542302
Glorieta de Luis Calleja;42.1201341;-8.8542745
Glorieta da República Arxentina;42.1198421;-8.8541670
Glorieta de Colón;42.1201130;-8.8522173
Rúa de Palos de la Frontera;42.1199736;-8.8531903
Rúa da Carabela Pinta;42.1203488;-8.8508136
Rúa do Marqués de Quintanar;42.1191793;-8.8521153
Estrada de Redondela;42.2303672;-8.6371238
Autopista do Val Miñor;42.1237433;-8.7809981
Autoestrada do Val Miñor;42.1225353;-8.7760364
Autoestrada do Atlántico;42.2190375;-8.6508175
Autoestrada do Atlántico;42.2241997;-8.6444267
