name;@lat;@lon
Montederramo;42.2689689;-7.5209312
Foz;43.5826016;-7.3237490
A Fonsagrada;43.1474494;-7.0753929
Cospeito;43.2172531;-7.5357040
O Corgo;42.9323979;-7.4252054
Folgoso do Courel;42.6163373;-7.1653881
Castroverde;43.0264901;-7.3407539
Castro de Rei;43.1752487;-7.4540448
Cervo;43.6525555;-7.4283115
Cervantes;42.8262572;-6.9717334
Porqueira;42.0245611;-7.8565333
A Pobra de Trives;42.3287366;-7.2829079
Petín;42.3606054;-7.0907552
A Bola;42.1437128;-7.8962188
Carballeda de Avia;42.3354638;-8.1990978
Muíños;41.9390577;-7.9753657
Outeiro de Rei;43.1068632;-7.6086367
Ourol;43.5539565;-7.6364199
Muras;43.4854968;-7.6641658
Monterroso;42.8067268;-7.7996742
Monforte de Lemos;42.5101954;-7.4980246
Mondoñedo;43.4478488;-7.3609468
As Nogais;42.7868005;-7.1000451
Negueira de Muñiz;43.1316761;-6.8926473
Navia de Suarna;42.9623961;-6.9548927
A Mezquita;42.0127878;-7.0381606
Gomesende;42.1889919;-8.0978080
Ribadeo;43.5114609;-7.1194274
Quiroga;42.4658637;-7.2184324
A Ribeira de Piquín;43.1985583;-7.1990625
Ribas de Sil;42.4293916;-7.3133085
Samos;42.6940652;-7.2819934
Riotorto;43.3256279;-7.2616409
Sarria;42.7713358;-7.4356637
Rábade;43.1249016;-7.6223281
Sober;42.4402381;-7.5374247
O Saviñao;42.6448678;-7.6422354
Láncara;42.8506215;-7.3363416
Lourenzá;43.4599015;-7.2829065
Lugo;42.9910090;-7.5706266
Meira;43.2199370;-7.2560422
Verea;42.0998685;-7.9939138
Verín;41.8951971;-7.4135509
Viana do Bolo;42.1589967;-7.0768443
Vilamarín;42.4617157;-7.8931771
A Teixeira;42.3680535;-7.4707564
Toén;42.3053698;-7.9586139
Trasmiras;42.0240917;-7.6210791
Vilamartín de Valdeorras;42.4422404;-7.0599401
Vilagarcía de Arousa;42.5950203;-8.7522081
Vilanova de Arousa;42.5539072;-8.7643699
O Rosal;41.9366082;-8.8292855
Salceda de Caselas;42.1065106;-8.5853487
Pontecesures;42.7169601;-8.6346055
Redondela;42.2799073;-8.6215377
Ribadumia;42.5134732;-8.7548451
Rodeiro;42.6531791;-7.9487821
Portas;42.5640304;-8.6602950
Poio;42.4418824;-8.7049075
Ponteareas;42.1884771;-8.5020680
Ponte Caldelas;42.3837864;-8.5134273
San Sadurniño;43.5310884;-8.0433034
Santa Comba;43.0383769;-8.7996591
Rois;42.7886905;-8.7119841
Sada;43.3472027;-8.2770619
Rianxo;42.6910506;-8.7833990
Ribeira;42.5506708;-9.0212508
As Pontes de García Rodríguez;43.4703834;-7.8788707
O Porto do Son;42.6866543;-8.9892485
Santiago de Compostela;42.9068876;-8.5110497
Santiso;42.8715244;-8.0765945
Meis;42.4997198;-8.7194184
Moaña;42.2977246;-8.7109742
O Grove;42.4703645;-8.8891520
A Guarda;41.9029160;-8.8581144
Agolada;42.7773681;-8.0343744
Gondomar;42.1114477;-8.7489668
Marín;42.3661005;-8.7112502
Meaño;42.4528855;-8.7862014
Lalín;42.6574457;-8.1264620
A Lama;42.4151241;-8.3889077
Oleiros;43.3554125;-8.3397073
Ordes;43.0852888;-8.4063791
Narón;43.5325761;-8.1717249
Neda;43.4994198;-8.1293859
Negreira;42.9077230;-8.8036729
Noia;42.7976759;-8.8668120
Monfero;43.3463448;-8.0031621
Mugardos;43.4494726;-8.2374941
Muxía;43.0654662;-9.1970336
Muros;42.7988002;-9.0368811
Arbo;42.1205823;-8.3137275
Barro;42.5214460;-8.6452302
Baiona;42.0884721;-8.8527249
Bueu;42.3469118;-8.8424673
Caldas de Reis;42.6180297;-8.6634123
Cambados;42.4999380;-8.7970025
O Campo Lameiro;42.5378633;-8.5198048
Cangas de Morrazo;42.2779024;-8.8163356
A Cañiza;42.2157441;-8.3049318
O Irixo;42.5123771;-8.1496351
A Gudiña;42.0412055;-7.1664483
Xunqueira de Espadanedo;42.3272132;-7.6378759
Xunqueira de Ambía;42.1834765;-7.7149155
Esgos;42.3338023;-7.6977784
Entrimo;41.9538034;-8.1450886
Ginzo de Limia;42.0350174;-7.7134905
Laza;42.1065837;-7.4574319
Larouco;42.3599397;-7.1659812
Irixoa;43.2876482;-8.0669552
Curtis;43.1353752;-8.0510559
Dodro;42.7212068;-8.7167811
A Coruña;43.3466266;-8.4217693
Culleredo;43.2778297;-8.4116468
Ferrol;43.5112484;-8.2670831
Fisterra;42.9285392;-9.2596536
Dumbría;42.9842505;-9.0907864
Fene;43.4553496;-8.1517081
Boimorto;43.0125856;-8.1245896
Boiro;42.6644048;-8.8900321
Boqueixón;42.8328766;-8.4095538
Brión;42.8548234;-8.7281298
Cabana de Bergantiños;43.1898049;-8.9037471
Cabanas;43.4337352;-8.1306383
Camariñas;43.1610162;-9.1474360
Cambre;43.2816766;-8.3309315
A Capela;43.4414891;-8.0412047
Carballo;43.2085192;-8.6787775
Tordoia;43.0872468;-8.5708860
Vilariño de Conso;42.1486805;-7.2712956
Vilardevós;41.9165788;-7.2947000
Coles;42.4075794;-7.8412803
Celanova;42.1666257;-7.9811902
Cenlle;42.3417508;-8.0650465
Castrelo do Val;42.0424781;-7.3662135
Chandrexa de Queixa;42.2582401;-7.3675188
Lobios;41.9044497;-8.0978145
Maceda;42.2566578;-7.6032474
